companyName,company_starRating,company_offeredRole,company_roleLocation,listing_jobDesc,requested_url
Shopee,3.9,Facilities Engineer,Manila,"
Manage utilization of office space and physical assets; he/she shall participate in maximizing office space with consideration to safety, compliance to local government policies and efficiency 
Monitor condition of office and its physical assets. Perform initial assessment for regular maintenance, necessary repairs, replacements or any form of rectifications. 
Monitor and control utilities consumption and proposed energy initiatives that will generate significant cost savings 
Manage relationships with existing contractors, real estate brokers, and building administrators 
Familiar with the construction and real estate service industry and able to tap potential partners for current and future business needs 
Exhibit effective communication with concern service provider and/or landlord for any issues related in the facility 
Support both Office and Warehouses Facilities of any space related and maintenance concerns 
Keep track of the commercial details in contracts of lease, renewals, extensions, construction, and other agreements related to company’s facility 
Plan and forecast company requirements such as physical assets, seats, office space and other related factors 
Performs all other miscellaneous responsibilities and duties, as needed 
Bachelor's degree; preferably in Architecture and Engineering, or any related field. Licensed Architect and/or extensive knowledge in AutoCAD is an advantage 
At least 5 years of strong experience in Facilities Management 
Knowledgeable in local government standards related to safety in an office set up 
Eye for quality and attention to detail 
Knowledgeable in understanding construction plans 
Preferably with knowledge in construction methods and processes. 
Excellent time and project management skills 
MS Office skills (Word, Excel, Powerpoint) 
Ability to work in a fast-paced environment 
Flexible to field work",https://www.glassdoor.com/partner/jobListing.htm?pos=114&ao=1136043&s=58&guid=0000018148778ba0826f1bdbbb70ee05&src=GD_JOB_AD&t=SR&vt=w&cs=1_07e60fcd&cb=1654778203375&jobListingId=1007923140461&jrtk=3-0-1g547f2umr0ku801-1g547f2v3r16n800-5592a39e956b2733-
"InfoBuilder Technologies, Inc.",4.0,Industrial Engineer (WFH),Pasig City,"Problem identification and solution formulation Data collection, report generation and documentation Risk analysis and Management Strategy development and implementation Software implementation and training Assume responsibility for project tasks and ensure they are completed in a timely fashion Evaluate, test, and recommend new opportunities for enhancing our software, hardware and IT processes Compile and distribute reports on application development and deployment Design and execute testing procedures to extract data from test runs Evaluate and draw conclusions from data related to users Document any identified required changes, and communicate them to the relevant third parties/colleagues Define configuration specifications and business analysis requirements Perform quality assurance Define reporting and alerting requirements Own and develop relationships with partners, working with them to optimize and enhance our integration The candidate must be a graduate of Industrial Engineer. At least 2 Years of work experience in the Business Analyst position. Required Skill(s): Technical Writing, Project Management, Presentation Skills, Communication Skills, Analytics, Logic Preferably 2 Years experienced employee specialized in IT/Computer - Software or equivalent. Additional leave Company Christmas gift Company events Flexible schedule Flextime Health insurance Life insurance Opportunities for promotion Paid training Pay raise Work from home 8 hour shift Flexible shift Monday to Friday 13th month salary Overtime pay Pasig City: Reliably commute or planning to relocate before starting work (Required) Bachelor's (Preferred) Industrial Engineer: 1 year (Preferred)",https://www.glassdoor.com/partner/jobListing.htm?pos=128&ao=1136043&s=58&guid=0000018148778ba0826f1bdbbb70ee05&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_bfec774d&cb=1654778203378&jobListingId=1007904659684&jrtk=3-0-1g547f2umr0ku801-1g547f2v3r16n800-cc328588c4d23543-
ESCA Incorporated,3.7,CIVIL DESIGN ENGINEERS,Quezon City,"Interprets survey reports, maps, drawings, blueprints, aerial photography, and other topographical or geographic data. Performs analysis, calculations and design hydraulic systems and structures, following construction and government standards, using design software and drawing tools. Performs analysis, calculations and design of road geometry and profile. Performs grading design and calculations of earthworks. Assists in inspecting project sites to monitor progress and ensure conformance to design specifications and safety or sanitation standards. Assists construction, operations, and maintenance activities at project site. Performs estimating works to quantities and cost of materials, equipment, or labor. Assists in coordinating work with other disciplines such as architectural, mechanical, electrical, etc. Performs other tasks assigned from time to time. Registered Civil Engineer with at least 2 years of experience in civil and/or land development works. Fresh graduates are encouraged to apply. Knowledge in the design of roads, water supply, storm drainage and/or sewerage systems. Proficient in AutoCADD and MS Office. Knowledge in Autodesk Civil 3D software.",https://www.glassdoor.com/partner/jobListing.htm?pos=115&ao=1136043&s=58&guid=0000018148778ba0826f1bdbbb70ee05&src=GD_JOB_AD&t=SR&vt=w&cs=1_2bd90ae2&cb=1654778203375&jobListingId=1006530498241&jrtk=3-0-1g547f2umr0ku801-1g547f2v3r16n800-04be6847722bcafb-
Corporate Executive Search Inc.,2.5,Technical Assistant (Engineer),Taguig,"The Technical Assistant is responsible for providing technical information in order to address the specific needs and requirements of the COO through analyzing information, offering broad range of ideas and diverse perspectives, using a variety of approaches, techniques, strategies, and resources, and thinking innovatively to find solutions to challenges and provide well-documented assessments and reports. Ensures that the COO's directives, required information, and updates on programs/initiatives are communicated accurately and in a timely manner with the COO's direct reports and other executives, while maintaining confidentiality in sharing information. Responsible for documentation of Operations and Maintenance standards and processes, business process mapping, Quality Management System compliance. Must be a degree holder in Engineering preferably in Civil or Electrical. With 2 to 4 years of related experience. Preferably with Renewable Energy background but not required. Analytical, critical thinking, and solutions- focused, problem-solving abilities Ability to analyze and improve processes, protocols, and procedures Ability to work under pressure while maintaining focus Excellent oral and written communication skills Interpersonal and people-handling skills Ability to build relationships and liaise with diverse team members and partners Day shift Monday to Friday Bachelor's (Required)",https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1136043&s=58&guid=0000018148778ba0826f1bdbbb70ee05&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_6637fa63&cb=1654778203373&jobListingId=1007707769962&jrtk=3-0-1g547f2umr0ku801-1g547f2v3r16n800-526f1b1b7a081afe-
"EZ ROCKS COMPANY, INC.",NA,Plant Engineer,Cabuyao,"Evaluate manufacturing processes and workflows to identify opportunities for improvement Apply a working knowledge of product design and assembly to the manufacturing process Create processes and procedures to help the company meet budgetary and performance goals Alongside the creative team, design and develop new products and product mock-ups Participate in cross-departmental meetings to ensure collaboration Establish effective and efficient work sequences Solve existing manufacturing problems Develop standardized design criteria for all products 8 hour shift 13th month salary Cabuyao City, Laguna: Reliably commute or planning to relocate before starting work (Required)",https://www.glassdoor.com/partner/jobListing.htm?pos=117&ao=1136043&s=58&guid=0000018148778ba0826f1bdbbb70ee05&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_97f410a5&cb=1654778203376&jobListingId=1007772181464&jrtk=3-0-1g547f2umr0ku801-1g547f2v3r16n800-81765c881c1bfa35-
Al Amal Recruitment Specialist,NA,Assistant Chief Engineer,Tagaytay,"Tagaytay, Cavite: Reliably commute or planning to relocate before starting work (Preferred) How many years of experience do you have in the hotel industry? Can you start immediately? Bachelor's (Preferred) Assistant Chief Engineer: 5 years (Preferred)",https://www.glassdoor.com/partner/jobListing.htm?pos=123&ao=1136043&s=58&guid=0000018148778ba0826f1bdbbb70ee05&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_12cc6d37&cb=1654778203377&jobListingId=1007897568524&jrtk=3-0-1g547f2umr0ku801-1g547f2v3r16n800-c263504825285d2d-
Lufthansa Technik Philippines,3.6,Tool Engineer,Pasay,"Performance of engineering services and technical evaluations, developments, administrations and enhancements of all aircraft, engine and component tools and equipment and test mock-ups. Performance of engineering services and technical evaluations involved in verification, test and calibration of M&TE. Conducts developmental, technical and economic studies on aircraft, engine and component tools and equipment Provides necessary designs, specifications, drawings, technical consultation and supervision for tool and equipment installation, modification, alteration, repair and local manufacture of tools and equipment Provides engineering assistance to shop mechanics in building test mock-up equipment especially if no technical data is available from components manufacturer manuals Establishes and monitor reliability and safety design standards for aircraft tools & equipment Provides technical assistance regarding issues and concerns on calibration and measurement standards Graduate of Engineering pref. Aeronautical, Electronics, Mechanical At least 2 years work experience in the related field is required Experience in Planning, Technical Design, and supply acquisition Willing to work onsite (Pasay City) Can start immediately Company Christmas gift Health insurance Life insurance Opportunities for promotion Paid training Promotion to permanent employee 8 hour shift Evening shift 13th month salary Commission pay Overtime pay Performance bonus Pasay City: Reliably commute or willing to relocate with an employer-provided relocation package (Required)",https://www.glassdoor.com/partner/jobListing.htm?pos=119&ao=1136043&s=58&guid=0000018148778ba0826f1bdbbb70ee05&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_0ba55f0a&cb=1654778203376&jobListingId=1007715506578&jrtk=3-0-1g547f2umr0ku801-1g547f2v3r16n800-068a7100c7a9e832-
Robinsons Supermarket Corporation,4.0,Mall Engineer,San Pedro,"Must possess at least a Bachelor’s Degree in Electrical Engineering, Mechanical Engineering, or its equivalent Preferably with at least 1 year experience in equipment maintenance planning and supervision Must have project management and leadership skills 8 hour shift Bachelor's (Preferred) Engineering: 1 year (Preferred)",https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1136043&s=58&guid=0000018148778ba0826f1bdbbb70ee05&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_c2d4ee4c&cb=1654778203373&jobListingId=1007766208621&jrtk=3-0-1g547f2umr0ku801-1g547f2v3r16n800-25847c68ec10d766-
Achelous Victory Prime Development Corp,NA,Project Engineer,San Jose del Monte,"Familiar with technical specifications and standards Familiar with engineering construction procedures Prepare basic construction technical scheme Familiar with the work of various project engineers Prepare various management documents according to bidding documents, such as project management plan (PMP), risk management, transportation plan, etc. Contact the owners and consultants, and attend various meetings on behalf of the project department Handle correspondence documents with owners and consultants Experience in tunnel engineering or underground steel pipe engineering Bachelor's Degree in Engineering Great leadership and organizational skills Licensed Civil Engineer At least 3-5 years of working experience in the related field Strong time management and analytical skills Work Location: San Jose Del Monte Bulacan Mondays-Saturdays WILLING TO START IMMEDIATELY!!  8 hour shift 13th month salary Overtime pay San Jose del Monte, Bulacan: Reliably commute or planning to relocate before starting work (Preferred) Do you have experience in tunnel engineering? Bachelor's (Preferred) Project Engineer: 3 years (Preferred)",https://www.glassdoor.com/partner/jobListing.htm?pos=129&ao=1136043&s=58&guid=0000018148778ba0826f1bdbbb70ee05&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_a2bb4b2e&cb=1654778203378&jobListingId=1007911938132&jrtk=3-0-1g547f2umr0ku801-1g547f2v3r16n800-7ad621f089de1526-
"TRI-PHIL International, Inc.",3.5,QC Engineer,Muntinlupa,Material Quality Performance In-house quality performance 8 hour shift 13th month salary Overtime pay Performance bonus Muntinlupa City: Reliably commute or planning to relocate before starting work (Required),https://www.glassdoor.com/partner/jobListing.htm?pos=127&ao=1136043&s=58&guid=0000018148778ba0826f1bdbbb70ee05&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_f9c60ccc&cb=1654778203378&jobListingId=1007850363689&jrtk=3-0-1g547f2umr0ku801-1g547f2v3r16n800-28fae7783447b501-
